    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -1.282626736,      0.8018414895,       1.427170853,       4.203061629,       2.678140395,       3.608280539
      -1.021299408,      0.4514962206,       2.017166023,       4.338190467,       2.339822594,       3.235070829
      -1.264300821,      0.8063920457,       1.311624931,       4.163954819,       2.324904207,       3.188428408
      -1.387596924,      0.3806423561,       1.409627368,       4.027969175,       2.269924984,       3.292586611
      -1.213639909,       0.678422813,       1.708199096,       4.239140917,       2.282099504,       3.290056234
      -1.273950303,      0.9190154865,       1.735484277,       4.169795396,       2.363453778,       3.413545754
      -1.362694404,      0.7417382676,       1.594300991,       4.187489802,       2.176423525,       3.223240977
       -1.40689828,      0.8155299515,       1.788580035,       4.012359608,       2.259933967,       3.340226156
      -1.336791365,      0.8032692884,        1.49781001,       4.213631874,       2.257465711,       3.365063499
      -1.327786403,      0.6298067699,       1.813042705,       3.950134974,       2.010798255,         3.1652233
      -1.271168269,      0.9836589444,       1.384309007,       4.234049605,       2.312084509,       3.402997299
      -1.204494716,      0.5335169014,        1.79181452,       4.133107101,       1.791854863,        2.96667493
      -1.322292934,      0.9117324249,       1.184569958,        4.14759327,        2.15519684,       3.050115221
      -1.404109301,      0.3223344733,       1.485140549,       3.973491061,       2.147479807,       3.124172771
      -1.332151952,      0.8045722061,       1.528539679,       4.105016232,       2.138602025,       3.176303142
      -1.438190316,      0.6584541244,       1.648300821,        4.02758361,       2.189915137,       3.233134087
      -1.315294459,      0.8808401178,       1.483501945,       4.177451824,        2.05141608,       3.162646273
      -1.406828123,      0.5852628358,       1.688729148,       3.916856901,       2.060820474,       3.140702122
       -1.29106498,       1.013776744,       1.404935914,       4.128028006,       2.109257657,       3.245315966
       -1.26636971,      0.9550662239,       1.708837809,       4.061445832,       1.794753839,       3.049005745
       -1.16785102,       1.111586507,       1.372236586,       4.307544789,       1.893497206,       3.040899652
      -1.284448243,      0.9293364457,       1.544040262,        4.13374565,       1.933681873,       2.992862499
      -1.169910126,       1.164744318,        1.40549847,       4.240820043,       2.141617081,       3.109579132
      -1.268643371,        0.44328989,       1.637741013,       4.159547747,       2.090683387,       3.067686846
      -1.305089523,       0.999797418,       1.378440139,       4.270697069,       1.953985996,       2.999709433
      -1.505107258,      0.9557482569,       1.644182038,       4.036775225,        1.99474349,       3.168914544
      -1.213794394,       1.003303984,       1.507259995,       4.231605173,       2.123866289,       3.123766265
      -1.356467823,       1.106114577,       1.730334527,       4.021291598,       2.212776618,       3.192925351
       -1.06308394,       1.377173055,       1.609336671,       4.409884031,       2.365954469,       3.252040672
      -1.161423025,       1.021256335,       1.740273801,       4.163192134,       2.339187071,       3.115471904
       -1.30705759,       1.000347592,       1.453805951,       4.183612222,       2.474265164,       3.246845924
      -1.181305107,      0.9184788442,       1.604927357,        4.28314724,       2.466520841,       3.232254208
      -1.258731068,      0.9262483008,       1.798849368,       4.177722851,       2.589475652,       3.401638022
