    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -1.197415671,     0.05469157583,      0.8332547526,       4.173168689,       1.668209588,       3.329375459
      -1.358532297,      0.1542615654,      0.7930127966,       3.950988604,        1.82529608,       3.505888454
      -1.314120177,    -0.02647027232,      0.8116432585,       4.066041246,       1.804941354,        3.55254543
      -1.217982815,      0.4006505243,      0.9639680377,       4.060539604,       1.770854506,       3.488946293
      -1.365015808,    -0.01489901221,      0.7504235876,       4.016900976,       1.793118408,       3.482305709
      -1.236962428,      0.2679648671,       1.016177844,       4.033283329,       1.647828304,        3.37148689
       -1.62413959,      0.4194920199,      0.7423624321,       3.777767985,       1.841690615,       3.428218226
      -1.326364785,      0.3245450059,      0.9924579086,       3.936510665,       1.883925918,       3.382154832
      -1.562094705,      0.5759882311,       0.869628405,       3.795289328,       1.937164498,       3.476105312
      -1.294774746,      0.4764390575,       1.064347165,       3.986150393,       2.114027175,       3.482123126
      -1.502078741,      0.7260172205,      0.9528183731,       3.713866171,       1.931696371,        3.41581034
      -1.283130358,      0.4727910176,      0.9419401423,       4.047549003,       2.064896252,       3.514697462
      -1.253809151,       0.557314772,        1.10617857,       4.064680468,       2.022276137,       3.586511892
       -1.11056109,      0.5343764954,       1.038711436,       4.201336649,       1.787417638,        3.57859108
      -1.121139396,     0.01410426857,      0.8396683744,       4.244167462,       1.619150562,       3.026625842
      -1.745110609,      0.1513669747,      0.5907096392,       3.513500684,       1.779699831,        3.41127013
      -1.529382944,  -0.0009416586452,      0.4757668342,       3.876149201,       1.588453334,       3.168543973
      -1.524132107,      0.1054012352,      0.6452708306,       3.749661264,       1.817008041,       3.498129853
      -1.394915382,     0.08526230481,      0.8380996432,       3.990884579,       1.796093447,       3.461384717
      -1.460374853,      0.2898199854,      0.8814165749,       3.765579388,       1.856824137,       3.644005172
       -1.18459938,      0.3104721245,      0.8143882939,       4.193840526,       1.670787068,       3.367526793
      -1.401587736,     0.02148582354,      0.8065861853,       3.869231751,       1.710030897,       3.307514422
      -1.922854034,   -0.008176869455,    -0.09997777782,       3.568024645,       1.633645591,       3.188513136
      -2.160673275,   -0.002764636365,     -0.0623001103,       3.370035399,       1.606590259,       3.122247194
      -2.302004547,    -0.02994606389,    -0.07440652024,       3.186343748,       1.517514981,       2.997101153
       -2.09073171,     -0.1707549776,     -0.1876245478,       3.002656513,       1.485793914,       2.988495644
      -2.091009439,     -0.3306611318,     -0.2121876521,       3.002734566,       1.336064249,       2.994766048
      -1.874384117,     -0.4354188056,    -0.08109643358,       3.343837687,       1.588656616,       3.158578552
      -2.366702895,      -0.331227845,       0.411890517,       3.025990582,        1.72113454,       3.319235013
       -1.65789799,      0.1942881026,       0.751400611,       3.633821387,       1.873769585,       3.526474696
      -1.571776509,      0.2668649462,      0.9549225937,       3.832363856,       2.072560866,       3.495351171
      -1.697822128,      0.2961349876,      0.8868181883,       3.806124895,       2.361158625,       3.749307691
      -1.341115629,      0.4358959658,       1.063698329,       4.069916403,       2.316326227,         3.9287225
     -0.9699652248,      0.5831995958,       1.279008111,       4.299288781,       2.194169684,       3.885535272
      -0.982627368,       0.494267917,        1.17561533,       4.393286274,       1.967264975,       3.576781357
      -1.326390577,      0.2604478456,       0.937709462,       3.890021265,       1.475924686,       3.105946991
      -2.089453657,    -0.01963848701,      0.3852573105,       3.259359426,       1.568391037,        3.19690807
      -2.081589123,    -0.02853851853,     0.07531960963,       3.595956603,       1.484272567,       3.139335357
      -2.339613449,     0.02115280323,      0.1348164706,       3.456030456,       1.348253691,        3.11210478
      -2.676138381,     0.04364637662,      0.1350991461,       3.293865881,       1.029899288,        3.09781804
      -2.142662852,     0.02473351428,     0.08778063405,       2.757106066,      0.9362152582,        3.10479609
      -2.066426672,    -0.07862800279,     -0.1313657613,       2.993667097,        1.28871844,       3.191105887
      -1.813886803,    -0.09029148667,      0.1000342186,       3.398393044,       1.564728597,        3.22136487
      -2.267759621,      -0.372203781,      0.5030826221,       3.189993908,        1.88808751,       3.485893855
      -1.545170772,      0.3226265503,      0.8769741837,       3.745217917,       1.834791372,       3.483304413
      -1.727101681,      0.3746149072,      0.9173035747,       3.692059375,       2.064215697,       3.511208663
      -1.682177779,       0.386626464,      0.9998611723,        3.62890705,        2.34844286,         3.6324276
      -1.519640209,       0.655643674,       1.088895937,       3.852777499,       2.227235962,       3.745847681
      -1.181798832,      0.6001885867,       1.146045163,       4.140488393,       2.181674363,       3.695223673
      -1.270933834,      0.3767912835,      0.9560190203,       4.115141785,       1.964816853,       3.381614824
      -1.737923849,     0.02330001878,      0.6588830708,       3.580416117,       1.947228491,       3.497580504
      -1.656698764,     -0.2060233219,     0.03267191955,       3.811703961,       1.737853083,       3.329728677
      -2.209451951,     -0.1356197139,      0.1220653318,       3.421871426,        1.71251658,       3.365514168
      -2.010810322,     -0.1598580786,     0.08483256681,       3.515587044,       1.376744631,       3.319693869
      -1.807824653,    -0.04828999593,      0.3376618742,       3.418609798,       1.797167636,       3.442646692
      -1.838876587,     -0.1271099325,      0.6527529287,       3.597114438,       2.005962168,       3.676733652
      -1.313787477,      0.4441848013,      0.9924771719,       3.972616942,       1.736003921,        3.50855698
      -1.783309982,      0.3583785856,      0.7912699716,       3.666512307,       1.975762277,       3.633824799
      -1.222014605,      0.4976608904,       1.011757551,       4.080860045,       1.924747498,       3.557018388
      -1.583859101,      0.2457414364,      0.8690711186,       3.838297913,       2.036462533,       3.680151718
      -1.140654551,      0.5089902601,       1.062979282,       4.172982039,       1.993553505,       3.616860359
      -1.404647136,      0.1918811761,      0.9795832543,       4.000612878,       2.109708068,       3.651426297
      -1.252018817,      0.4124473533,       1.131525625,        4.03075415,       2.307907705,       3.667661413
      -1.387336255,      0.5458970301,        1.08936406,       3.992268584,       2.113039842,       3.699571372
      -1.146303451,       0.532281228,       1.218696262,       4.158518862,       2.249338287,        3.71237307
      -1.484834528,      0.7117607739,       1.088495481,       3.754534338,       2.293977088,       3.731291275
      -1.233734048,      0.5382833922,       1.185989762,       4.079648856,       2.216039053,       3.791130117
      -1.263281541,      0.6994856445,       1.206989416,       4.093412506,       2.242319014,        3.88726441
      -1.209903697,      0.5992430094,       1.226953675,       4.070658762,       1.943539271,       4.002980216
      -1.455731065,      0.6267598125,      0.9339091173,       3.924736173,       1.870562434,       4.192593826
      -1.494409876,      0.2635932741,       1.028299256,       3.872151446,       1.963253724,       4.442420762
      -1.328686729,      0.3341486668,       1.053593871,       4.034672603,       2.224152039,       8.271456907
      -1.493982316,      0.3243772112,       1.032823151,       3.882794437,       2.061750144,       11.98787513
       -1.30088618,      0.3979797903,      0.9782490593,       4.104556519,       1.654688165,       11.38587437
      -1.649189922,      0.3105145155,      0.7709728508,       3.841419154,       1.651666951,       10.78722001
      -1.926753482,      0.2572178025,      0.5489129334,       3.593491991,       1.728042641,       10.18966939
      -1.834873771,      0.2047862361,      0.3301666811,       3.566328264,       1.766499279,       9.593577604
      -1.719268568,     0.09603387533,      0.1703267666,       3.576374664,       1.788164392,       8.999422813
      -1.693187186,    -0.00929344296,     0.05582070587,        3.52882661,       1.788381049,       8.407862047
      -1.717490432,    -0.03426260967,    -0.06166117403,       3.427684801,       1.657811826,       7.819805368
      -1.801300547,     -0.1384692767,     -0.2255250638,       3.297327599,       1.619531385,       7.236491921
      -1.876236319,     -0.2924585008,     -0.1679964424,       3.256515475,       1.614271797,        6.65957705
      -2.123443818,     -0.4455840124,   -0.009076205683,       3.054673001,       1.639703885,       6.091377812
      -1.945769231,      -0.226695716,      0.3865772585,       3.352601528,       1.938997716,       5.540973692
      -1.789996947,      0.1294291815,      0.8177098546,       3.576028481,       2.150859456,       5.033767517
      -1.527711331,      0.4017139707,       0.989842021,       3.715713672,       2.272037823,       4.595514436
      -1.502097442,      0.6898761651,       1.039818414,       3.823479348,       2.142888531,       4.250509683
      -1.319553518,      0.5223517926,        1.14989536,        4.00324037,       2.199649642,       3.997667509
      -1.326243886,      0.8285451808,       1.080685935,       3.957464063,       2.250822601,        3.77790084
      -1.479058104,      0.3012549467,      0.9740398603,       3.870446715,       2.061818866,       3.693763618
      -1.299585527,      0.2046172233,         1.0607465,       4.056720832,       2.230217132,       3.711066278
      -1.293560024,      0.3499379981,       1.075959382,       4.018565473,       2.177222081,        3.62856372
      -1.385766655,      0.4426186995,       1.012418943,       4.017114683,       2.182721889,       3.665983337
      -1.290403765,       0.548093598,       1.234248215,       4.035675595,       2.190659463,       3.460231438
      -1.328000325,      0.7673746022,       1.093833628,       4.017796004,        1.94061882,       3.198086856
      -1.471695637,      0.1236634168,       0.974797595,       3.916313132,       2.197202797,       3.598911061
      -1.285292254,      0.4150907902,       1.160813059,        4.05266341,       2.022552346,       3.390095215
       -1.23204013,      0.3888098968,       1.037593855,       4.177493518,       2.115370104,       3.498356539
      -1.394636983,      0.3234250824,       1.189341202,       3.911437173,       2.119132751,         3.5577087
      -1.397601733,      0.5775733157,       1.065242562,       3.993468673,       2.115460871,       3.686681981
      -1.362418534,      0.3666988875,       1.135337159,       3.943646772,       2.099224272,        3.55765331
      -1.347694426,      0.4311617353,        1.10197664,       4.018304118,       2.080001566,       3.627997935
      -1.330599018,      0.4196053268,       1.146321611,       3.988397462,       2.017599693,       3.470645657
      -1.409800053,      0.5249703414,       1.057763272,       3.947901021,       2.013457147,       3.444153667
      -1.346799631,       0.300676544,       1.071548107,       3.982489894,       2.020384504,       3.526504801
      -1.341321265,      0.3821841962,       1.066394941,       4.023556766,       2.019292342,       3.544150317
      -1.425506013,      0.2901752124,       1.034228359,       3.898239852,        2.02673849,        3.55220351
      -1.398881363,      0.3458617399,       1.006116814,       3.984551914,        2.10153717,        3.62751131
       -1.31196047,      0.4816578582,       1.178279328,       3.998868622,        1.93293478,       3.431457341
      -1.395953642,      0.6889241269,        1.02199666,       3.958968822,       1.812399394,       3.148370458
      -1.468522863,      0.1530130516,      0.9429913778,       3.861986555,       2.009907471,        3.46830346
      -1.439935712,      0.2259839825,      0.9764252834,       3.913554028,       2.045851654,       3.563065641
      -1.485675023,      0.2851986558,       1.006779283,       3.826351284,       2.054613047,       3.556864458
      -1.413406719,       0.242360735,       1.033537952,       3.973131708,       2.144591749,       3.651229666
      -1.356413216,      0.4553568452,       1.169534544,       3.943790409,       1.994906656,       3.460938417
      -1.408661461,      0.6347403729,       1.049037195,        3.94869899,       2.017873783,       3.398583239
      -1.378427228,      0.2515199659,       1.049185949,       3.938469341,       2.069317163,       3.585749101
      -1.315513907,      0.3943856394,       1.073736086,       4.052614343,       1.971217773,       3.434612245
      -1.406486484,      0.2412099701,      0.9873068012,       4.000670347,       1.996473004,       3.421699926
      -1.340573156,      0.3117376033,       1.075861838,       4.008535934,       2.159698935,       3.674833745
      -1.264472986,      0.6602538107,       1.150047935,       4.069935899,        2.08487928,       3.663641421
      -1.285063674,      0.3693351838,       1.020734976,        4.09931304,       2.117556648,       3.647374301
      -1.385010588,      0.4795872455,       1.030881009,       3.943971648,       2.241372955,       3.804711509
      -1.271515531,      0.5866905754,        1.15162646,       4.036088094,       2.116046041,       3.602928657
      -1.257053475,      0.8441916878,       1.118715944,       4.073427005,       2.023873375,        3.60671378
      -1.206174114,      0.5310006271,       1.126187736,       4.140625243,       1.943867082,       3.493804256
      -1.407940113,      0.6942592617,       0.980486469,       3.861153767,        1.93008548,       3.285570703
        -1.5165021,      0.1974720661,      0.9068255744,       3.844176137,       1.986858148,        3.47819897
      -1.375393456,      0.2541415259,      0.9964725088,       3.969347893,       2.031413395,       3.558969198
      -1.358903619,      0.3076977499,       1.045520262,       3.955584176,       2.076674395,       3.596081506
      -1.353768326,      0.5898439071,       1.070426064,       3.968806864,       2.080496912,       3.614247202
      -1.305428245,       0.494052217,       1.142625967,       4.019588601,       2.105769746,       3.601164066
       -1.27981438,      0.7921387585,       1.112991406,       4.036638662,       2.018189844,       3.586359594
      -1.219244696,      0.4828054288,        1.12883349,       4.127712221,       2.000128965,       3.574856221
      -1.327172204,      0.7027315453,       1.041129011,       3.936788619,       1.936517152,       3.489175949
      -1.391062173,      0.2514113905,      0.9717656144,       3.958029784,       2.020787231,       3.630299216
      -1.261754181,      0.3875732271,       1.079132628,       4.070122765,       2.034454582,       3.702978217
      -1.256959851,      0.3782269696,        1.06039742,       4.053085035,       1.967874024,       3.677445529
      -1.409635791,      0.5920211022,       1.024383388,       3.929348518,       1.954139422,       3.690564178
      -1.426556425,      0.4127257326,       1.111492222,       3.907516457,       1.967796028,       3.782928553
      -1.408024132,      0.5845894472,       1.027574001,       3.947692608,       2.007486837,       3.905156216
      -1.287850807,      0.5041224661,       1.113255744,        4.03200589,       2.044217953,       4.015327669
      -1.353656952,      0.7243508053,       1.049621419,       3.950759124,       1.924275782,       4.196585222
      -1.388978037,      0.2313644439,       1.002444556,       3.975337061,       2.100024761,       4.446780259
      -1.260386517,      0.4473424762,       1.108514176,       4.056997419,       2.224596672,       8.008304189
       -1.27627247,      0.3737554525,      0.9929180557,         4.1256724,        1.98170023,       11.46062217
      -1.358489675,      0.2477906858,        1.16135885,       3.981095556,       2.088934895,       10.85817441
      -1.331097705,      0.4885074098,       0.941413158,       4.070681991,       2.097589245,       10.25607022
      -1.271068617,      0.4221640238,       1.103089941,       4.032098827,       2.015329497,       9.654287552
      -1.507427722,      0.4536490375,        1.02520411,       3.847615497,       2.006202472,        9.05297089
       -1.38972715,      0.4151014074,       1.073728007,       3.909071027,       1.993401356,       8.452609326
      -1.484892562,      0.4394611896,       1.024781599,       3.889900247,        2.03458335,       7.854028986
      -1.305098836,      0.4880851214,       1.135349258,       4.000743483,       1.937501086,       7.258911014
      -1.445172742,      0.5617316345,       1.023137852,       3.925399971,       1.941111612,       6.670519532
      -1.433612895,      0.2614577695,       1.046903488,       3.900232209,       1.980392735,       6.094928454
      -1.359408631,      0.2654282754,       1.050392413,       4.020246355,       1.973119245,        5.54283592
      -1.479202405,      0.2513311299,       1.030994592,       3.918274755,       2.032911662,       5.031493999
      -1.420610852,      0.2806545546,       1.006557099,       3.983656856,       2.189352118,        4.58610819
       -1.27946716,      0.5807170573,       1.205993499,       4.040960666,       2.263709934,       4.225674245
      -1.367382078,      0.7687860891,       1.086219041,       3.979163652,       2.011422988,       3.943736282
       -1.40326045,      0.3933198585,        1.08276676,       3.937492925,       2.145985622,        3.80573925
      -1.323083856,      0.3900007437,       1.089367109,       4.040598729,       1.972281064,       3.593122297
      -1.358062077,      0.3038885765,      0.9963611813,       4.063587083,       1.947631304,       3.493854487
      -1.487392335,       0.168455252,       1.108619288,       3.893414559,       2.042603773,       3.604003329
      -1.510719487,       0.430166195,       1.050206048,       3.859801385,       2.078094165,       3.656012465
      -1.518136066,      0.3388264734,       1.036486013,       3.819809636,       2.105594152,       3.545797718
      -1.564543722,      0.3485912423,       1.062147315,       3.810098447,       2.132954181,       3.624765661
      -1.418548892,      0.4979904516,       1.135386371,       3.911548237,       2.263257347,       3.530794474
      -1.511543221,      0.5038463413,       1.102745005,       3.795812951,       2.183244002,       3.555803773
      -1.363540447,      0.4620676361,       1.088625517,       3.990942312,       2.182660461,       3.532312118
      -1.390531347,      0.5104438973,       1.113864704,       3.949084283,       2.126707951,       3.516362028
      -1.379168999,      0.3601937505,         1.0422906,       3.949876796,       2.040368013,       3.537010527
      -1.426360098,      0.5012139345,       1.003042276,       3.928970358,       2.059056513,       3.578581282
      -1.411241391,          0.419097,       1.077143706,       3.894512954,       2.007096341,       3.497682427
      -1.442663595,       0.525874911,       1.006339293,       3.895930776,       1.971894741,       3.487051078
      -1.387699546,      0.4126794986,       1.076083398,       3.944608801,       1.936465946,        3.41437283
      -1.472877548,      0.4858683026,      0.9850835979,        3.85162482,       1.902466827,       3.307588079
      -1.463255252,      0.1940483673,      0.9214154233,        3.86904175,       1.999029776,       3.526198703
      -1.378913946,      0.3872771663,       1.007128119,        3.96936255,       2.008593404,       3.558047509
      -1.489976217,      0.2868280236,      0.9489157863,       3.881003091,        2.01045291,       3.542921448
      -1.434863418,      0.4012537113,      0.9495751667,        3.92346369,       2.118781251,        3.66776667
      -1.292452277,      0.6026923116,       1.145878793,       4.026475012,       1.880476165,       3.480760415
      -1.426909696,      0.6033002781,      0.8660028799,       3.934562844,        1.82237018,        3.35367684
      -1.638947738,      0.2596321643,      0.4536901312,       3.740302569,       1.677997172,       2.968236507
      -1.962195753,       0.202019604,     0.09882001691,       3.397006059,       1.721151904,       3.063922405
      -1.891493393,     0.04027976175,     0.06710462285,       3.427100759,       1.553016226,       3.105703791
      -1.729856003,      0.1261786981,      0.3203255539,       3.575552996,       1.859935394,        3.36604478
      -1.737582175,   -0.003806648828,      0.6823546911,       3.628209526,       1.992538758,       3.608749672
      -1.450401089,      0.4196039413,      0.9299652483,       3.805951472,       1.780562086,       3.420632343
      -1.725112765,      0.4639823803,      0.7816734372,       3.703008141,       2.000995255,       3.535739162
      -1.381413116,       0.463968079,       1.054096047,       3.901736588,       2.067338694,       3.447354169
      -1.496152263,      0.7467532333,      0.9206970853,       3.834718789,       1.977174976,       3.448880086
      -1.365797411,      0.4678380492,       0.951328111,       3.973433162,        2.09899671,       3.564424773
      -1.344383903,       0.584549459,       1.031939576,       3.967760419,        2.04123385,       3.630311452
       -1.19033101,      0.4756507115,       1.004763836,       4.142509239,       1.888661934,       3.654844347
      -1.117543886,      0.1885563445,      0.9077653813,        4.26169481,       1.747939699,       3.261337128
      -1.571790766,      0.1618328096,       0.757778266,       3.732252643,       1.779923328,       3.249460365
      -1.957103126,    -0.09016222737,      0.1131164856,        3.55775168,       1.804477597,       3.288971393
      -1.876855788,     -0.1217856387,      0.0578516094,       3.604274626,       1.709765965,       3.150929693
      -2.152682101,     -0.1058608417,     0.05192181544,       3.355744492,       1.574594561,       3.063428236
      -2.107707661,      -0.159793214,    -0.08021028673,       3.241968839,       1.304036153,       2.909931209
      -1.974517388,      -0.199319911,     -0.2282488723,       3.216189094,       1.424006154,       2.989685054
       -2.06377553,     -0.2366137869,      0.0390776387,       3.168435564,       1.389956723,       3.065683544
       -1.85652913,      -0.167929053,      0.3494701093,       3.411394659,       1.888610862,       3.444289149
      -1.779198813,     0.08930751337,      0.8000718693,       3.616881569,       2.050974205,       3.584441278
      -1.624427168,      0.3740390695,      0.9403490028,       3.556396525,       1.996475103,       3.505421562
       -1.69951573,      0.5432305892,      0.9146050957,        3.74727788,       2.145181006,       3.595262103
       -1.39682697,      0.5649729473,       1.147633786,       3.910434556,       2.366527189,       3.654636264
      -1.369178679,      0.6225336434,       1.041066276,       3.970478694,        2.10136153,       3.500157315
      -1.394048997,      0.3020673237,      0.7831530707,       4.013408342,       1.619864866,       3.221447091
      -1.914749888,      0.2483474801,      0.3763205868,       3.484243108,       1.856468224,       3.172104301
      -1.955531818,      0.1583821357,      0.2534990169,       3.430022885,       1.574795456,       3.146168281
      -1.883503712,     0.08604535635,      0.3306334047,       3.440318995,       1.846205513,       3.303215066
      -1.734752712,     0.09882115598,      0.6002211785,       3.593371689,       2.081926031,       3.557876371
       -1.51727949,      0.2366977645,       0.949719964,       3.851638845,       2.139707308,       3.645890802
      -1.425711881,      0.3703680323,       1.045569474,       3.921758874,       2.309969312,       3.762872507
      -1.284714169,      0.5768040511,        1.06862193,       4.073591573,       2.204820672,        3.81385414
      -1.056252385,      0.4657682515,       1.172716413,       4.228067133,       2.086712193,       3.803526856
      -1.061385808,      0.3955695039,       1.020402894,       4.318407214,       1.674396646,        3.26082406
      -1.771554731,      0.0309242272,      0.6374156106,       3.432393025,       1.635224402,       3.200838282
      -2.112786828,    -0.05736847551,      0.2568478416,       3.542450023,       1.703055741,       3.269724025
      -1.939267936,     -0.0248689943,      0.1190975002,       3.653591838,       1.641544007,       3.221005421
      -2.114125135,     0.02684278362,      0.1686199286,       3.549951039,       1.494117461,       3.159065299
      -2.588176525,     0.05231133717,      0.1747472368,       3.328706534,       1.166042018,       3.126819641
       -2.23171241,     0.02419576802,     0.08909415347,       2.888010622,      0.5978661126,       3.147627763
      -1.964427648,    -0.06719617329,     -0.1725340704,       3.145682724,      0.7466361243,       3.158406071
      -1.917612971,     -0.1658598747,     -0.6276549557,        3.26088543,       0.685787767,       3.138755991
      -2.049860621,     -0.2842469102,     -0.4365106002,        3.11799542,      0.9936052622,       3.146248615
      -2.182450375,     -0.4449570528,     -0.4024848185,        3.03102438,       1.315360291,       3.195183213
      -2.545989675,     -0.7551008253,    -0.04557252631,       2.730723026,       1.270565921,       3.232651035
      -2.174842342,     -0.3360542766,      0.2478879625,       3.128564538,       1.770262531,       3.413184091
      -1.968448713,    -0.03549817173,      0.6707677681,       3.401575667,        2.07861526,        3.60917991
      -1.644523211,      0.3379927732,      0.9124684789,        3.55522968,       2.167674642,       3.611970559
       -1.62485012,      0.5423535808,       1.000476265,       3.788357747,        2.20657633,       3.686470635
      -1.390958585,      0.5295844789,       1.172444559,       3.948965211,       2.419918288,       3.774798349
      -1.372185629,      0.5513985193,       1.068627604,        3.97500415,        2.14047284,       3.650395857
      -1.305657854,      0.3448700054,      0.9215417764,       4.072088893,       1.970692916,       3.706406127
      -1.380780435,      0.1830158968,      0.7245135275,       4.031437955,       1.662110261,       3.513537915
      -2.099385827,      0.1026538237,       0.284671949,        3.33383185,       1.779582769,       3.535340904
      -1.989044449,     0.04748127092,      0.1630476009,       3.540525484,       1.507925251,       3.526010052
      -1.854772614,      0.1411848317,      0.2580931015,       3.413824165,        1.64914743,       3.536248562
      -1.996176095,    -0.08345784967,      0.4512027511,       3.449886169,       1.850976062,       3.663605059
      -1.431830015,      0.3208245527,      0.7938579777,       3.883672017,       1.973604568,       3.711253137
      -1.438611785,     0.09417250042,       1.014105676,       3.969001333,       1.924570284,       3.665223695
      -1.726652057,      0.3854123483,      0.9721703136,       3.631577521,       2.127394065,       3.757778987
      -1.560117794,       0.375175224,       1.004528068,       3.886963711,       2.235719376,       3.839535582
      -1.374445086,      0.4605708576,        1.18169719,       3.908968226,       2.429888439,       3.900341302
      -1.495390044,      0.7599707225,       1.133602498,       3.818362007,       2.181240319,       4.020116263
      -1.209525966,      0.6227531081,       1.175006238,       4.090706629,       2.210713988,       4.157341514
      -1.401772376,      0.7491146052,       1.074626306,       3.897970548,       2.151848073,        4.37820847
      -1.377378813,      0.4914300714,       1.056721778,       3.942012782,       2.214599637,       8.692023718
      -1.396810892,      0.5285373605,       1.091858472,       3.956301273,       2.293668083,       12.83615317
      -1.216293195,      0.5109640234,       1.138316484,       4.107638951,       1.970884422,       12.23408795
      -1.600740795,      0.4115123709,       0.907995077,       3.772864283,       1.970255599,       11.63327315
      -1.657109857,      0.3349312006,      0.6545026317,        3.78423729,       1.979469877,       11.03286058
      -1.612728376,      0.2471416257,      0.4024626152,       3.824037381,       1.974895506,       10.43298323
      -1.619300856,      0.1327637638,      0.1937678085,       3.813786205,       1.952983355,         9.8338295
      -1.677798671,     0.08187284218,     0.08356542859,       3.749550118,         1.8981473,       9.235678228
       -1.84256389,     0.09089347642,     0.07042845495,       3.562931759,       1.846292895,       8.638943941
      -2.019742458,     0.03488242236,    -0.04534342599,        3.32773914,        1.76662621,        8.04420808
      -2.089029962,     -0.1657430506,   -0.003461587845,       3.148690813,       1.749987349,       7.452225914
      -2.217301175,      -0.202946745,      0.3138127854,       3.144455391,       1.780227945,       6.863988199
      -1.849103619,     0.05548707556,      0.6348511373,       3.431566453,       1.970454087,       6.283384231
      -1.530086553,      0.2861278902,      0.9855333012,       3.867645317,       2.121886685,       5.722322868
      -1.627864147,      0.2739052243,      0.8446133701,       3.916514959,       2.314114915,       5.196178129
      -1.531923852,       0.412307412,       1.016046956,       3.767849244,       2.148290278,       4.727943369
      -1.485074411,      0.3483381563,      0.9985765417,       3.862294567,        2.25956552,        4.34382048
       -1.44087784,      0.4892211515,       1.154226829,       3.920325227,       2.314586363,       4.058301114
      -1.317977363,      0.4691547694,       1.141870765,       4.103119215,       2.309899002,       3.894680321
      -1.417152493,       0.481081123,       1.128724086,       4.000802818,       2.396999057,       3.875759124
       -1.27133135,      0.6381867955,       1.247268111,       4.022433453,       2.307395819,       3.740155252
      -1.264554156,      0.8769944495,       1.175951211,       4.094935905,       2.114902881,       3.657138775
      -1.265476851,      0.6877484858,       1.194597523,       4.070584765,       2.029488279,        3.45848007
      -1.382526443,       0.646550465,       1.007658741,       3.969036729,       1.999746064,       3.279493884
      -1.524851232,      0.2412450634,      0.9974604815,       3.793835141,       2.080065667,       3.531888869
      -1.344756424,      0.3907137313,       1.038215869,       4.019114239,       2.056919062,       3.354797932
      -1.368848807,      0.2667043577,       1.023228222,       4.050614629,       2.066876472,       3.424028096
      -1.414170412,      0.3665693883,        1.09611769,         3.8753213,       2.083031246,       3.588484248
       -1.52509286,      0.3501241149,       1.050420992,         3.8484538,       2.024510695,       3.604208072
      -1.548770535,      0.2907573824,      0.9986780737,        3.82713852,       2.058246554,       3.553734922
      -1.519601004,      0.2773865635,       1.053668846,       3.870364499,       2.091293713,       3.642263602
      -1.424933667,      0.4310581716,       1.135944924,       3.902998289,       1.977955137,       3.449113333
      -1.550384135,      0.5588235299,       1.039598662,       3.797790384,       2.108248084,       3.467070623
      -1.435602537,      0.3457151197,       1.050737884,       3.899798641,       2.262367041,       3.572484002
      -1.401610478,      0.4182428095,       1.111805498,       3.954948309,        2.11650198,       3.568291639
       -1.40974264,      0.3381927141,       1.050292149,       3.972086763,       2.242101158,       3.616368296
      -1.397839723,      0.4822668246,       1.071096674,       3.940407815,       2.194560521,       3.706852959
      -1.276229559,      0.6261827018,       1.167647362,       4.042821127,       2.020629737,        3.44715007
        -1.3815842,      0.7482704484,       1.073083474,       3.970877609,       1.915425024,       3.186815357
      -1.423121996,      0.2145966464,      0.8880716112,       3.933002353,       1.931762463,       3.365328969
      -1.580506629,      0.2285933712,      0.8650402355,       3.729526296,       1.977266362,         3.4160633
      -1.613738267,      0.2185200944,      0.8880668916,       3.703310735,       2.053486861,        3.56895001
      -1.450609023,      0.2939317451,       1.006050608,       3.926441392,       2.076646319,       3.592934629
      -1.536738205,      0.2623008268,       1.036661206,       3.816831222,       2.049714191,        3.54456148
      -1.480851926,      0.3948082164,       1.012612876,       3.882038621,       2.122818712,       3.619234496
      -1.372596838,      0.4151657602,       1.148719435,       3.947582475,       2.026644168,       3.498725933
      -1.426364948,      0.6713213039,       1.038427029,       3.901549526,         1.9221174,       3.411805438
      -1.392187652,      0.3117077705,      0.9857037583,       3.951438549,       2.029708017,       3.565627214
      -1.356192194,      0.3852389742,       1.045756992,       3.987534816,       1.977630443,       3.539886866
      -1.512881176,      0.2302867513,      0.9136842493,       3.908976284,        2.03854033,       3.546239518
      -1.464783614,      0.3245613631,      0.9592814597,       3.890645759,       2.143599091,       3.709760633
      -1.286691029,      0.6280076749,       1.149562147,        4.03888658,        1.94207312,       3.440606552
      -1.410588239,      0.6791575015,       1.037788282,       3.906373854,       2.010410037,       3.419652078
      -1.432306166,      0.2414799803,      0.9086744108,       3.886583314,       1.998264579,       3.368912091
      -1.441875585,      0.2529167946,      0.9600152368,       3.894070924,       2.024147881,       3.399732662
       -1.38927629,      0.1435053413,       1.010857671,       3.933158761,       2.017468076,        3.35892294
      -1.457233049,      0.4264208667,      0.9525573587,       3.871357206,       1.915144838,       3.312497303
      -1.465998792,      0.1144706421,      0.9609250051,       3.884746654,       2.064032145,       3.441746244
      -1.427218883,      0.3438977736,       1.022644997,       3.906271501,       2.077082625,       3.557135564
      -1.454528089,      0.3544151238,       1.025088141,       3.883601588,       2.116138081,       3.584949633
      -1.466317578,      0.3330620925,       1.090934792,       3.881139313,       2.089518981,       3.603415856
      -1.432635999,      0.4178781918,       1.122320736,       3.923947145,       2.069146714,       3.550318586
