"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          64,      -3.737635543,      -1.342108916,      -1.362902952,       1.723167591,      -8.212288198
          0,           0,          65,      -3.733820888,      -1.335377432,      -1.356927849,       1.726957482,      -8.209488783
          0,           0,          66,      -3.730210864,       -1.32848741,      -1.350612353,       1.730551459,      -8.206785279
          0,           0,          67,      -3.726487213,      -1.321784018,      -1.343871082,       1.734252296,      -8.204044693
          0,           0,          68,      -3.722976049,      -1.315237761,      -1.336836938,       1.737756538,      -8.201237679
          0,           0,          69,      -3.719453415,      -1.308809811,      -1.329399778,       1.741283413,       -8.19831906
          0,           0,          70,      -3.715834798,      -1.302838801,      -1.321779892,       1.744906808,      -8.195337766
          0,           0,          71,      -3.712318812,      -1.297084696,       -1.31392493,       1.748445501,      -8.192238483
          0,           0,          72,      -3.708607185,      -1.291548893,      -1.305955353,       1.752188661,      -8.189009597
          0,           0,          73,      -3.704890277,      -1.286541698,       -1.29802534,       1.755946128,      -8.185642685
          0,           0,          74,      -3.701144017,       -1.28163908,      -1.290102666,       1.759742051,      -8.182125606
          0,           0,          75,      -3.697076869,       -1.27718201,      -1.282401677,       1.763864217,      -8.178432321
          0,           0,          76,      -3.693031899,      -1.272982959,      -1.274878925,       1.767976516,      -8.174601382
          0,           0,          77,      -3.688705257,      -1.268876913,      -1.267626454,       1.772378477,      -8.170560036
          0,           0,          78,      -3.684129926,      -1.265204335,      -1.260692022,        1.77704182,      -8.166328368
          0,           0,          79,      -3.679566517,      -1.261498166,      -1.254060573,       1.781713197,       -8.16193983
          0,           0,          80,      -3.674475237,      -1.257976868,      -1.247726048,       1.786915608,      -8.157330277
          0,           0,          81,       -3.66944286,      -1.254528263,      -1.241700126,       1.792084875,      -8.152591335
          0,           0,          82,      -3.664130253,      -1.250971557,       -1.23584558,       1.797554426,      -8.147706033
          0,           0,          83,       -3.65856992,      -1.247448215,      -1.230242258,       1.803283732,      -8.142690293
          0,           0,          84,      -3.653028429,      -1.243723689,      -1.224694667,        1.80901949,      -8.137558339
          0,           0,          85,      -3.647206284,      -1.239830818,      -1.219216721,       1.815050669,       -8.13232318
          0,           0,          86,      -3.641421544,      -1.235764027,      -1.213749032,       1.821062863,      -8.127086564
          0,           0,          87,      -3.635585445,       -1.23144682,      -1.208119828,       1.827144291,      -8.121818854
          0,           0,          88,      -3.629708997,      -1.226856653,      -1.202510252,       1.833269828,      -8.116601056
          0,           0,          89,      -3.623925779,      -1.222068954,      -1.196597381,       1.839313219,      -8.111438199
          0,           0,          90,      -3.618276941,      -1.217118799,      -1.190662138,       1.845228108,      -8.106359792
          0,           0,          91,      -3.612624267,       -1.21197548,      -1.184423174,       1.851134744,      -8.101435872
          0,           0,          92,      -3.607249256,      -1.206840138,      -1.178096849,       1.856767948,      -8.096617166
          0,           0,          93,        -3.6019389,      -1.201621395,      -1.171544583,       1.862324699,      -8.091946063
          0,           0,          94,      -3.596810837,      -1.196470059,      -1.164889928,       1.867686774,      -8.087447892
          0,           0,          95,      -3.591904093,      -1.191484033,      -1.158112434,        1.87282397,      -8.083075887
          0,           0,          96,      -3.587062462,      -1.186564851,      -1.151269414,         1.8778801,      -8.078856671
          0,           0,          97,      -3.582439786,      -1.181921958,       -1.14440556,        1.88270915,      -8.074757999
          0,           0,          98,      -3.577916669,      -1.177494332,      -1.137518092,       1.887438065,      -8.070759313
          0,           0,          99,      -3.573495593,      -1.173303094,      -1.130703013,       1.892052349,      -8.066866811
          0,           0,         100,      -3.569128117,      -1.169442948,      -1.123910241,        1.89661819,      -8.062969462
          0,           0,         101,      -3.564886268,      -1.165874609,      -1.117264709,       1.901060422,      -8.059145036
          0,           0,         102,      -3.560547173,      -1.162572991,      -1.110692299,       1.905597475,      -8.055281678
          0,           0,         103,      -3.556321204,      -1.159684515,        -1.1042969,       1.910032991,      -8.051397338
          0,           0,         104,      -3.552030666,      -1.157077195,      -1.098042475,         1.9145393,      -8.047483765
          0,           0,         105,      -3.547684227,      -1.154798377,      -1.091968574,       1.919104683,      -8.043496498
          0,           0,         106,      -3.543375296,      -1.152928102,      -1.086080537,       1.923646435,       -8.03950836
          0,           0,         107,      -3.538967136,      -1.151336278,      -1.080370937,       1.928294594,      -8.035467735
          0,           0,         108,        -3.5345795,      -1.150084711,      -1.074874505,       1.932923991,      -8.031451633
          0,           0,         109,      -3.530161401,      -1.149142066,      -1.069545824,       1.937596702,       -8.02747013
          0,           0,         110,       -3.52582492,      -1.148431683,      -1.064438634,       1.942187976,      -8.023502568
          0,           0,         111,      -3.521461234,      -1.147900524,      -1.059480457,       1.946807528,      -8.019668256
          0,           0,         112,      -3.517292003,      -1.147522096,      -1.054746847,       1.951235772,      -8.015953757
          0,           0,         113,      -3.513196786,      -1.147132736,      -1.050115995,       1.955590439,      -8.012367472
          0,           0,         114,       -3.50929097,      -1.146651935,      -1.045717693,       1.959750904,       -8.00898715
          0,           0,         115,      -3.505589453,      -1.146004265,      -1.041387476,       1.963708843,      -8.005755002
          0,           0,         116,       -3.50213121,      -1.144995999,      -1.037291814,       1.967421221,       -8.00271415
          0,           0,         117,      -3.498899517,      -1.143574265,      -1.033262029,       1.970903516,      -7.999830611
          0,           0,         118,      -3.495931369,      -1.141596073,        -1.0294297,       1.974124319,      -7.997103341
          0,           0,         119,      -3.493231848,      -1.139021194,      -1.025706244,       1.977079021,      -7.994460763
          0,           0,         120,       -3.49071972,        -1.1357816,      -1.022294872,       1.979851854,      -7.991918411
          0,           0,         121,      -3.488419139,         -1.131876,        -1.0190543,       1.982421857,      -7.989415319
          0,           0,         122,      -3.486243988,      -1.127336782,      -1.016097086,       1.984880254,      -7.986927338
          0,           0,         123,      -3.484164259,      -1.122285484,      -1.013439643,        1.98726144,      -7.984461603
          0,           0,         124,      -3.482131909,      -1.116760536,       -1.01106976,       1.989623335,      -7.981976067
          0,           0,         125,      -3.480039938,      -1.110972782,       -1.00902643,       1.992064073,      -7.979430767
          0,           0,         126,      -3.477818341,      -1.104986383,      -1.007296186,       1.994663289,      -7.976889106
          0,           0,         127,      -3.475499094,      -1.098937423,      -1.005973416,       1.997392737,      -7.974276263
          0,           0,         128,      -3.472977284,      -1.092946549,       -1.00494588,       2.000350821,        -7.9716098
          0,           0,         129,      -3.470280797,      -1.087110567,      -1.004116344,       2.003509316,      -7.968917341
          0,           0,         130,      -3.467426828,      -1.081427747,      -1.003337425,       2.006845943,      -7.966171936
          0,           0,         131,      -3.464404713,      -1.075902877,      -1.002516875,       2.010361864,      -7.963429168
          0,           0,         132,      -3.461284657,      -1.070559542,      -1.001451419,       2.013977723,      -7.960732176
          0,           0,         133,      -3.458143803,      -1.065374063,      -1.000070387,       2.017606388,      -7.958115407
          0,           0,         134,       -3.45503935,      -1.060344424,     -0.9981412245,       2.021172303,      -7.955665134
          0,           0,         135,      -3.452188035,      -1.055442297,     -0.9956038189,       2.024457384,      -7.953469768
          0,           0,         136,      -3.449630215,      -1.050692731,      -0.992304735,       2.027403557,      -7.951526871
          0,           0,         137,      -3.447587241,      -1.046142951,     -0.9882864004,       2.029782355,      -7.949954816
          0,           0,         138,      -3.446286752,      -1.041852386,     -0.9837142987,       2.031354688,      -7.948941837
          0,           0,         139,      -3.445663355,      -1.037879357,     -0.9787833753,       2.032180406,      -7.948544336
          0,           0,         140,      -3.445972281,      -1.034345898,     -0.9738063872,       2.032005109,      -7.948813656
